Version (A) absorcion en magnitudes
l.d.o.  ND0.3  ND0.6  ND0.9
======  =====  =====  =====
3000     .350   .600   .965
3500     .320   .570   .915
4000     .310   .580   .915
4500     .310   .600   .935
5000     .315   .620   .955
5500     .315   .635   .960
6000     .310   .650   .965
6500     .310   .655   .965
7000     .310   .660   .960
7500     .305   .665   .955
8000     .300   .670   .950

Version (B) 10**(-0.4 A), donde A es la absorcion en magnitudes, i.e., los
numeros tabulados indican la transmision (en tanto por uno)
l.d.o.    ND0.3        ND0.6        ND0.9
======  =========    =========    =========
3000    0.7244360    0.5754399    0.4111497
3500    0.7447320    0.5915616    0.4305266
4000    0.7516229    0.5861382    0.4305266
4500    0.7516229    0.5754399    0.4226686
5000    0.7481695    0.5649369    0.4149540
5500    0.7481695    0.5571857    0.4130475
6000    0.7516229    0.5495409    0.4111497
6500    0.7516229    0.5470160    0.4111497
7000    0.7516229    0.5445026    0.4130475
7500    0.7550922    0.5420009    0.4149540
8000    0.7585776    0.5395106    0.4168694
